FL,AL,MS,LA,TX,
16.32702198,25.88729953,2.516201651,15.13425326,4.540421475,64.4051979
22.66597885,31.0042505,5.059302715,21.63225207,6.032602816,86.39438695
26.07404224,33.83102613,6.611888355,25.18884323,7.073591676,98.77939164
29.58954835,36.62696611,8.428422735,28.79784971,9.876526622,113.3193135
35.93502772,41.92846019,11.67759099,36.47245887,12.41898193,138.4325197
